"","WB","Ama2","Hyp3","Hb3","PrT","pTub","Hyp1","Cb","Ama1","Hyp2","Hb1","NEC","OB","Hb2","PN","DMX","Ama3"
"40",NA,"myt1a","jun","raraa","pbx4","ncor2","tsc22d2","zbtb2b","hmga1b","arid1b","ets2","pbx1a",NA,"tox2","cux1a","tcf3b","hivep1"
"41",NA,"cux1a",NA,"hmga1b","pbx1a","myt1a","rerea","jund","myt1a","rerea","klf7a","nr3c1",NA,"hmga1b","tfap2a","znf609a","mta2"
"42",NA,"rerea",NA,"baz2ba","jun","arnt2","npas4a","tshz3b","ncor2","nr4a1","nr4a1","plscr3b",NA,"znf865","jun","camta1a","mef2d"
"43",NA,"znf827",NA,"camta1a","klf7b","myt1la","znf609a","klf6a","klf7a","pou3f1","nr3c1","zfhx3",NA,"arid1b","plscr3b","npas4a","jund"
"44",NA,"kmt2cb",NA,"meis2b","myt1b","smarcc2","cicb","zic2a","smad2","fosb","hivep1",NA,NA,"klf7b","myt1b","klf7b","zmiz1a"
"45",NA,"csde1",NA,"znf609a","nr2f1a","smad2","arnt2","kmt2cb","hes6","hes6","hoxb5b",NA,NA,"csde1","smad2","ncor2","klf7a"
"46",NA,"arid1b",NA,"myt1a","pbx3b","myt1b","znf865","PAXBP1","pbx1a","jun","smarcc1a",NA,NA,"atf3","meis1b","isl1","hes6"
"47",NA,"klf7a",NA,"zbtb16a",NA,NA,"baz2ba","hmga1b","camta1b","cux1a","klf7b",NA,NA,"onecut1","sox11a","mllt10","tox3"
"48",NA,"hmg20a",NA,"cux1a",NA,NA,"mef2d","tshz1",NA,"znf865","meis1b",NA,NA,"PAXBP1","sox11b","camta1b","ubtf"
"49",NA,"hes6",NA,"znf865",NA,NA,"arid1b","myt1a",NA,"kmt2cb","mef2d",NA,NA,"baz2ba","junba","baz2a","nfil3-5"
"50",NA,"baz2ba",NA,"znf827",NA,NA,"tcf12","insm1a",NA,"pou3f3a","kmt2cb",NA,NA,"npas4a",NA,"fosb","pbx3b"
